Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2020,495.80,503.45,479.70,485.85,489.741375675767569956,882330,20323,432113508.00,142272,16.12,23.75,-9.95
31-August-2020,518.00,533.80,486.30,496.95,506.849016036170835637,1844580,37876,934923558.00,417783,22.65,47.50,-21.05
28-August-2020,475.10,512.95,475.10,509.60,502.677124482216298834,2031495,27269,1021186065.00,321687,15.83,37.85,34.50
27-August-2020,464.10,474.50,464.00,473.05,470.674235174570602685,810904,16119,381671620.00,366043,45.14,10.50,8.95
26-August-2020,452.95,464.50,450.00,463.40,459.883323317212147806,628986,9253,289260172.00,153607,24.42,14.50,10.45
25-August-2020,451.00,456.20,447.45,451.75,452.528785902740301013,533664,8398,241498322.00,115329,21.61,8.75,0.75
24-August-2020,442.25,449.30,442.25,445.70,445.439655281165354387,554887,6792,247168674.00,99135,17.87,7.05,3.45
21-August-2020,438.25,444.80,436.10,440.40,439.998166087608147693,366975,5721,161468327.00,68518,18.67,8.70,2.15
20-August-2020,439.00,441.15,433.45,434.95,436.684082915969849531,458633,10674,200277731.00,141175,30.78,7.70,-4.05
19-August-2020,445.70,451.90,442.50,444.10,447.856274096855430010,358968,5314,160766071.00,70628,19.68,9.40,-1.60
18-August-2020,437.00,447.00,435.50,445.70,441.259110993529941426,430908,6322,190142081.00,62114,14.41,11.50,8.70
17-August-2020,436.30,440.70,425.30,437.75,431.453175201238487708,634322,9375,273680241.00,116042,18.29,15.40,1.45
14-August-2020,451.10,451.10,425.75,435.45,438.664870419569903253,1356532,14354,595062934.00,614318,45.29,25.35,-15.65
13-August-2020,453.00,456.85,445.40,448.05,450.620153764025128454,419604,6782,189082019.00,79756,19.01,11.45,-4.95
12-August-2020,444.00,452.70,439.25,450.95,444.889010128600694307,2797030,9054,1244367908.00,2195232,78.48,13.45,6.95
11-August-2020,436.00,449.65,434.50,448.00,443.923246939050236830,958281,12153,425403213.00,206491,21.55,15.15,12.00
10-August-2020,435.00,437.20,429.40,430.95,429.992185926926036411,3978079,6324,1710542885.00,3584138,90.10,7.80,-4.05
7-August-2020,430.20,437.00,427.40,433.20,429.182107297205192088,3870427,5859,1661118016.00,3546371,91.63,9.60,3.00
6-August-2020,436.80,438.35,427.10,433.00,432.937424933289131155,736012,10782,318647140.00,95585,12.99,11.25,-3.80
