Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2020,382.05,410.00,379.00,405.80,397.740074599328002399,1027087,18592,408513660.00,411713,40.09,31.00,23.75
31-August-2020,393.00,397.90,372.65,376.40,386.009191166903471929,192141,3580,74168192.00,45172,23.51,25.25,-16.60
28-August-2020,391.50,393.60,388.05,391.30,391.229520097814458199,104688,1855,40957036.00,21842,20.86,5.55,-0.20
27-August-2020,395.00,397.05,390.50,391.05,393.747833410536067713,118735,2102,46751649.00,39622,33.37,6.55,-3.95
26-August-2020,388.00,394.45,386.75,392.35,390.744550690917345288,176215,2140,68855051.00,26674,15.14,7.70,4.35
25-August-2020,394.00,394.65,385.60,387.40,388.392561143922038434,142737,1990,55437989.00,50449,35.34,9.05,-6.60
24-August-2020,394.50,396.05,390.55,392.20,392.365347192191264595,129496,3635,50809743.00,56997,44.01,5.50,-2.30
21-August-2020,397.60,398.00,392.80,394.10,394.878030231010552333,63114,1189,24922332.00,16004,25.36,5.20,-3.50
20-August-2020,398.00,398.00,391.50,394.00,394.043174915866371172,73098,1436,28803768.00,21272,29.10,6.50,-4.00
19-August-2020,398.50,402.00,394.45,396.35,398.737416579255408096,131562,2195,52458692.00,29262,22.24,7.55,-2.15
18-August-2020,392.00,397.00,388.25,394.40,392.875316912295166443,97030,1763,38120692.00,18890,19.47,8.75,2.40
17-August-2020,400.00,400.00,389.40,391.15,392.996797441191951091,246990,5068,97066279.00,51882,21.01,10.60,-8.85
14-August-2020,394.60,402.35,391.60,395.10,397.082455349337946391,217354,3456,86307460.00,38333,17.64,10.75,0.50
13-August-2020,397.50,401.00,391.55,392.80,396.096572207364739765,388880,6592,154034035.00,86355,22.21,9.45,-4.70
12-August-2020,407.30,407.30,392.30,396.75,397.510843636205054403,229305,3946,91151224.00,78956,34.43,15.00,-10.55
11-August-2020,415.50,417.25,406.50,407.20,410.901878890902745724,177658,3261,73000006.00,49308,27.75,10.75,-8.30
10-August-2020,403.35,414.25,401.00,412.40,409.563978475097455267,330408,4729,135323215.00,48553,14.69,13.25,9.05
7-August-2020,407.55,411.90,396.10,399.35,401.626831397694841639,136303,2605,54742942.00,48054,35.26,15.80,-8.20
6-August-2020,411.00,413.80,406.10,407.40,409.572299383268747269,139607,2824,57179160.00,43867,31.42,7.70,-3.60
5-August-2020,414.00,418.80,407.25,408.45,413.354156903934717621,433195,2566,179062954.00,304368,70.26,11.55,-5.55
4-August-2020,415.90,416.40,404.30,413.65,411.770192339560524542,181034,2432,74544405.00,29296,16.18,12.10,-2.25
3-August-2020,410.50,416.65,407.45,411.60,412.879631694899999608,255549,5065,105510977.00,74649,29.21,9.20,1.10
31-July-2020,408.00,412.80,400.85,409.65,408.025794492469476873,280525,4597,114461436.00,57043,20.33,11.95,1.65
30-July-2020,395.80,404.75,395.80,403.40,401.049547526495382343,193713,3470,77688511.00,29114,15.03,8.95,7.60
29-July-2020,399.15,403.50,393.15,395.80,396.606778351267022424,137172,2521,54403345.00,40016,29.17,10.35,-3.35
28-July-2020,400.20,407.55,396.55,398.90,401.467355065419483988,138873,2691,55752976.00,27530,19.82,11.00,-1.30
27-July-2020,414.30,415.15,397.45,399.55,404.086253541600769898,297182,8198,120087161.00,83043,27.94,17.70,-14.75
24-July-2020,431.90,435.45,413.75,415.15,422.363164267249747116,391484,7263,165348421.00,88419,22.59,21.70,-16.75
23-July-2020,434.65,438.30,424.00,430.30,432.410973876926440048,457450,8080,197806400.00,110830,24.23,14.30,-4.35
22-July-2020,427.00,441.00,425.75,431.00,434.232643492571144680,322055,6314,139846794.00,55932,17.37,15.25,4.00
21-July-2020,431.90,433.30,424.55,426.30,428.209848154689542858,174388,3806,74674659.00,50537,28.98,8.75,-5.60
20-July-2020,435.00,435.00,424.55,428.25,429.122439205647991412,121105,2147,51968873.00,30780,25.42,10.45,-6.75
17-July-2020,427.00,433.30,423.10,431.35,429.121348970971510739,133524,2430,57297999.00,29434,22.04,10.20,4.35
16-July-2020,426.55,432.65,416.30,426.10,424.045991698510473297,248871,3847,105532750.00,25117,10.09,16.35,-0.45
15-July-2020,442.00,442.00,422.40,424.75,428.612763178115875211,208224,3832,89247464.00,46823,22.49,19.60,-17.25
14-July-2020,423.00,441.00,417.50,437.45,432.092611442495549658,1060031,16099,458031563.00,121021,11.42,23.50,14.45
