Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2020,135.00,135.40,130.80,133.50,132.599369884146177668,521174,6642,69107344.00,173309,33.25,4.60,-1.50
31-August-2020,139.20,142.05,134.00,134.45,138.814574674354911380,790124,4723,109680727.00,151531,19.18,8.05,-4.75
28-August-2020,141.35,142.35,138.75,139.00,140.885816678594699680,374468,2701,52757230.00,105631,28.21,3.60,-2.35
27-August-2020,143.20,143.20,140.00,140.55,141.317933592939929491,390591,3137,55197513.00,91290,23.37,3.20,-2.65
26-August-2020,141.00,143.90,140.10,141.90,142.712624225555870050,1017504,9122,145210666.00,206261,20.27,3.80,0.90
25-August-2020,140.30,141.00,139.30,140.35,139.989266987022972802,1578867,3427,221024434.00,1358500,86.04,1.70,0.05
24-August-2020,140.25,141.40,138.75,139.75,139.968531777463972210,645127,8778,90297479.00,321589,49.85,2.65,-0.50
21-August-2020,139.50,141.75,139.00,139.50,140.497654940782580164,1417235,14564,199118194.00,555222,39.18,2.75,0.00
20-August-2020,134.85,139.00,133.40,138.55,137.403800723556880081,707339,5117,97191067.00,141108,19.95,5.60,3.70
19-August-2020,137.50,138.00,134.65,135.10,136.467789410042639852,628520,7841,85772735.00,278619,44.33,3.35,-2.40
18-August-2020,136.70,138.50,135.75,136.75,137.022741343203188034,894846,8939,122614252.00,201450,22.51,2.75,0.05
17-August-2020,134.00,137.00,132.40,135.95,134.976775305552845481,1045482,7130,141115789.00,194769,18.63,4.60,1.95
14-August-2020,130.00,134.20,129.05,131.80,132.389617540717152618,904410,6196,119734494.00,216069,23.89,5.15,1.80
13-August-2020,129.00,130.10,128.35,128.95,129.046563548502817109,473890,7349,61153876.00,201868,42.60,1.75,-0.05
12-August-2020,130.95,130.95,128.45,128.75,129.015985738655025905,377524,3570,48706631.00,184842,48.96,2.50,-2.20
11-August-2020,130.70,130.95,129.70,130.05,130.297825207558800300,207652,2293,27056604.00,79328,38.20,1.25,-0.65
10-August-2020,131.00,131.15,129.05,129.25,130.130996378995680570,240541,2390,31301840.00,95340,39.64,2.10,-1.75
7-August-2020,129.85,130.35,128.55,129.70,129.639181560229864703,237183,1938,30748210.00,75504,31.83,1.80,-0.15
6-August-2020,127.80,131.15,127.80,128.85,129.761793886850218531,559188,5412,72561238.00,187006,33.44,3.35,1.05
