date,coalindia,ibulhsgfin,wipro,ltfh,tcs,sunpharma,biocon,pvr,axisbank,hdfcbank,tatamotors,cipla,itc,spicejet,reliance,infy,bhel,dabur,sbi,bajfinance
1-September-2020,133.5,205.65,271.75,66.35,2245.3,522.3,405.8,1405.95,485.85,1127.35,143.8,737.25,190.3,50.7,2087.55,914.3,38.55,488.5,218.1,3643.75
31-August-2020,134.45,208.1,271.4,67.1,2256.35,518.5,376.4,1310.95,496.95,1115.2,143.2,712.1,191.25,51.5,2078.55,928.5,38.55,475.05,212.15,3489.45
28-August-2020,139.0,223.95,271.95,71.55,2237.1,555.8,391.3,1446.65,509.6,1115.0,142.7,748.8,195.55,52.35,2115.6,934.85,41.65,488.95,224.85,3672.25
27-August-2020,140.55,219.35,271.9,71.05,2247.9,532.9,391.05,1335.9,473.05,1111.95,144.35,756.05,194.2,52.0,2111.7,946.4,39.25,492.95,215.75,3631.75
26-August-2020,141.9,217.75,272.0,71.65,2254.65,524.95,392.35,1322.65,463.4,1117.7,137.85,747.95,194.95,52.3,2136.85,950.8,39.95,495.95,209.85,3644.4
25-August-2020,140.35,206.45,269.9,68.1,2242.25,525.1,387.4,1323.15,451.75,1119.85,127.05,747.5,195.55,51.85,2082.0,938.35,40.0,492.15,208.0,3643.9
24-August-2020,139.75,202.35,272.7,67.35,2247.95,533.35,392.2,1311.1,445.7,1116.8,121.2,751.95,196.65,52.2,2096.05,947.2,40.9,490.75,201.4,3490.65
21-August-2020,139.5,203.1,273.35,67.8,2248.2,532.7,394.1,1308.8,440.4,1085.7,120.95,761.15,196.9,54.1,2081.75,948.85,40.65,491.95,198.35,3390.1
20-August-2020,138.55,204.0,274.25,68.75,2252.0,522.25,394.0,1347.35,434.95,1058.6,121.7,762.65,195.85,51.55,2096.35,955.05,38.5,492.7,194.7,3393.95
19-August-2020,135.1,204.85,279.6,67.15,2256.25,525.45,396.35,1334.35,444.1,1067.4,125.15,758.45,198.45,50.5,2133.2,959.3,38.05,494.2,197.1,3408.75
18-August-2020,136.75,207.6,282.55,67.2,2269.4,526.15,394.4,1261.0,445.7,1056.45,125.6,764.65,198.6,50.4,2118.75,967.15,37.45,496.9,195.1,3419.45
17-August-2020,135.95,203.3,282.35,65.05,2252.05,528.35,391.15,1234.3,437.75,1033.55,123.5,771.45,198.65,49.5,2091.45,957.5,37.05,495.5,193.05,3384.35
14-August-2020,131.8,204.85,276.5,64.2,2242.45,531.45,395.1,1243.05,435.45,1034.45,124.55,771.8,196.5,49.35,2114.1,953.5,37.35,496.4,196.45,3330.9
13-August-2020,128.95,212.6,277.0,65.9,2255.5,520.8,392.8,1254.6,448.05,1058.95,131.1,760.4,201.5,50.3,2122.3,951.25,38.95,497.65,201.85,3418.85
12-August-2020,128.75,217.95,276.2,65.25,2256.7,532.0,396.75,1195.5,450.95,1063.75,125.3,762.2,204.15,49.25,2127.6,955.35,36.05,503.65,203.35,3418.6
11-August-2020,130.05,214.75,279.5,64.0,2279.25,541.05,407.2,1123.65,448.0,1067.6,122.3,778.7,203.65,46.45,2134.05,948.2,35.75,513.15,195.1,3456.65
10-August-2020,129.25,204.7,277.15,63.65,2281.6,543.75,412.4,1125.6,430.95,1051.0,123.8,795.65,198.9,46.15,2119.6,951.1,36.25,508.2,193.8,3441.75
7-August-2020,129.7,193.3,277.25,63.45,2294.95,525.8,399.35,1127.5,433.2,1044.0,119.1,728.6,196.05,46.2,2146.7,950.75,35.25,511.95,190.65,3466.0
6-August-2020,128.85,190.8,279.45,62.15,2307.7,532.2,407.4,1127.6,433.0,1040.55,116.8,731.7,195.35,46.15,2134.55,969.2,35.7,506.85,190.95,3345.3
5-August-2020,128.5,190.4,278.15,61.1,2258.8,529.0,408.45,1139.2,434.85,1027.85,115.5,722.55,192.75,45.7,2126.65,944.6,36.7,503.0,191.5,3262.55
