Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2020,210.05,211.65,194.15,205.65,201.426816978656831437,1163979,14045,234456585.00,145958,12.54,17.50,-4.40
31-August-2020,226.00,230.00,202.85,208.10,214.492616412521676572,3135874,33541,672621819.00,548383,17.49,27.15,-17.90
28-August-2020,222.50,229.45,221.70,223.95,225.316693506980526023,1141318,11902,257157998.00,215564,18.89,7.75,1.45
27-August-2020,222.25,223.90,215.10,219.35,219.731880427220722295,1387105,13780,304791190.00,273372,19.71,8.80,-2.90
26-August-2020,209.00,222.95,207.95,217.75,217.459493722967100221,5833170,50223,1268478195.00,2062611,35.36,15.00,8.75
25-August-2020,206.00,209.70,202.15,206.45,206.271341162256264566,1224945,9368,252671048.00,153349,12.52,7.55,0.45
24-August-2020,206.40,209.75,200.00,202.35,205.102154639924424097,1045836,11394,214503217.00,200720,19.19,9.75,-4.05
21-August-2020,207.95,207.95,202.30,203.10,204.865080751490044878,480858,5849,98511013.00,120175,24.99,5.65,-4.85
20-August-2020,203.85,208.50,201.00,204.00,205.154833198210632922,1148339,12566,235587296.00,256236,22.31,7.50,0.15
19-August-2020,210.30,210.95,204.45,204.85,207.153974466102988501,635469,7891,131639929.00,217275,34.19,6.50,-5.45
18-August-2020,205.00,211.30,202.50,207.60,207.474780553195626843,1254746,10827,260328151.00,197641,15.75,8.80,2.60
17-August-2020,209.85,210.25,200.05,203.30,204.859571731913748242,936236,9034,191796906.00,146558,15.65,10.20,-6.55
14-August-2020,213.90,214.80,201.30,204.85,208.468124850307630090,1018756,10727,212378153.00,234854,23.05,13.50,-9.05
13-August-2020,225.00,227.30,211.65,212.60,218.868830967186898683,1655223,18736,362276723.00,382312,23.10,15.65,-12.40
12-August-2020,214.75,220.20,211.60,217.95,217.556639758715514947,1984048,21917,431642816.00,539378,27.19,8.60,3.20
11-August-2020,207.30,220.40,206.70,214.75,214.010631465344885725,2425818,23623,519150842.00,286260,11.80,13.70,7.45
10-August-2020,195.00,212.60,195.00,204.70,206.748670580384473080,2394654,21005,495091531.00,261094,10.90,17.60,9.70
7-August-2020,190.80,199.50,190.25,193.30,194.793595216296635385,1747600,11827,340421287.00,173250,9.91,9.25,2.50
6-August-2020,191.70,194.90,188.80,190.80,191.982427413216506783,2119153,16777,406840137.00,272716,12.87,6.10,-0.90
5-August-2020,186.50,194.45,186.50,190.40,191.468176132369640056,1387025,10756,265571147.00,133879,9.65,7.95,3.90
4-August-2020,184.00,187.65,176.35,184.75,183.927496370600720256,1920428,14760,353219514.00,244672,12.74,11.30,0.75
3-August-2020,188.00,191.65,181.20,182.60,185.645101267230191528,2140574,19952,397387077.00,303315,14.17,10.45,-5.40
31-July-2020,199.85,199.85,179.90,190.00,187.545696845953889058,5101479,49856,956760434.00,531068,10.41,19.95,-9.85
30-July-2020,216.00,217.65,197.10,199.85,207.149389130170069407,2069508,22956,428697318.00,470243,22.72,20.55,-16.15
29-July-2020,215.70,218.55,212.75,213.65,216.337262857108409040,663524,8344,143544966.00,112893,17.01,5.80,-2.05
28-July-2020,213.00,216.95,212.70,215.70,215.256610318838001498,719519,8499,154881221.00,129962,18.06,4.25,2.70
27-July-2020,218.80,218.80,211.40,212.20,213.371997228972630606,909410,9697,194042628.00,120512,13.25,7.40,-6.60
24-July-2020,216.95,225.75,214.10,216.00,218.501427397876305046,2695114,17362,588886256.00,229593,8.52,11.65,-0.95
