Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2020,191.00,192.30,188.40,190.30,190.173358074223738553,1873821,29886,356350832.00,661473,35.30,3.90,-0.70
31-August-2020,198.50,198.70,190.30,191.25,195.087524859667910140,3823965,41887,746007867.00,1614024,42.21,8.40,-7.25
28-August-2020,194.80,196.25,194.10,195.55,195.057794355606320197,672384,6111,131153740.00,309585,46.04,2.15,0.75
27-August-2020,198.00,198.95,194.00,194.20,195.332975204983714113,1116918,9511,218170916.00,542072,48.53,4.95,-3.80
26-August-2020,196.05,196.40,193.70,194.95,194.647838403025985819,1200270,18433,233629961.00,558855,46.56,2.70,-1.10
25-August-2020,197.00,198.25,195.05,195.55,196.124829034950516577,570292,4847,111848421.00,269389,47.24,3.20,-1.45
24-August-2020,197.00,198.90,196.40,196.65,197.389799848827712735,854654,10925,168699982.00,396594,46.40,2.50,-0.35
21-August-2020,198.85,199.00,196.35,196.90,197.675190792419752851,1259484,11952,248968740.00,519850,41.27,2.65,-1.95
20-August-2020,197.50,197.50,194.65,195.85,195.977987205954508003,540095,5290,105846731.00,262084,48.53,2.85,-1.65
19-August-2020,198.75,201.60,198.15,198.45,199.867665251029982331,1008027,10829,201472003.00,354496,35.17,3.45,-0.30
18-August-2020,198.80,199.55,197.30,198.60,198.292893036611629576,373324,3426,74027496.00,140532,37.64,2.25,-0.20
17-August-2020,197.50,199.45,196.90,198.65,198.327199531095755182,777984,8993,154295388.00,313757,40.33,2.55,1.15
14-August-2020,201.50,203.25,195.60,196.50,199.433088419794824306,1725643,18458,344150313.00,518349,30.04,7.65,-5.00
13-August-2020,204.25,204.25,197.45,201.50,201.829119509343217067,815886,6883,164669553.00,214959,26.35,6.80,-2.75
12-August-2020,202.80,204.85,200.35,204.15,202.383823777651683862,1475091,13377,298534557.00,461420,31.28,4.50,1.35
11-August-2020,200.00,207.60,199.95,203.65,204.717169452927131079,4510167,37473,923308622.00,2407218,53.37,7.65,3.65
10-August-2020,196.15,199.60,195.75,198.90,198.398714207064757315,1520307,16287,301626954.00,875922,57.61,3.85,2.75
7-August-2020,195.35,197.00,194.15,196.05,195.975269819840719858,668131,5286,130937153.00,247119,36.99,2.85,0.70
6-August-2020,193.25,195.60,193.25,195.35,194.974414847312359493,550241,6177,107282917.00,213956,38.88,2.35,2.10
5-August-2020,194.80,194.80,191.75,192.75,193.075494997077039082,472124,4139,91155575.00,176834,37.45,3.05,-2.05
4-August-2020,192.90,195.80,192.65,193.60,194.445704417584967727,1180713,9850,229584571.00,320435,27.14,3.15,0.70
3-August-2020,195.00,195.00,191.90,192.70,192.714166320175007887,478607,4644,92234349.00,212545,44.41,3.10,-2.30
31-July-2020,194.00,196.95,193.50,194.10,195.372408252066740541,443089,4149,86567365.00,127443,28.76,3.45,0.10
30-July-2020,198.10,198.15,192.50,193.35,195.301437345169281585,775040,11802,151366426.00,259047,33.42,5.65,-4.75
29-July-2020,193.90,198.10,193.60,196.80,196.672843235543662400,1064291,9870,209317137.00,406418,38.19,4.50,2.90
28-July-2020,196.50,198.60,195.15,195.45,196.776906698378100768,654233,5106,128737946.00,183222,28.01,3.45,-1.05
27-July-2020,199.70,200.50,195.10,196.25,197.199109824620427059,1890414,17966,372787958.00,581871,30.78,5.40,-3.45
24-July-2020,200.65,201.65,197.35,199.70,199.368945657569562687,936745,7929,186757863.00,258581,27.60,4.30,-0.95
23-July-2020,198.00,201.45,196.75,200.65,200.181254782234640699,2889601,28686,578443954.00,1651004,57.14,4.70,2.65
22-July-2020,192.75,197.85,192.60,196.55,196.173660749078012683,1039331,8541,203889367.00,248381,23.90,5.25,3.80
21-July-2020,192.60,194.15,191.55,192.25,192.709943038570198146,1657964,15980,319506148.00,478592,28.87,2.60,-0.35
20-July-2020,195.95,195.95,192.40,192.75,193.045740564144670228,543194,5589,104861288.00,255819,47.10,3.55,-3.20
17-July-2020,193.75,195.50,193.00,194.00,194.190671544907352767,423650,4286,82268878.00,141632,33.43,2.50,0.25
16-July-2020,199.00,199.00,192.00,193.85,193.568680307256469296,801285,7884,155103680.00,308440,38.49,7.00,-5.15
15-July-2020,196.50,199.90,194.50,198.50,197.733831148925989338,2675020,17706,528941953.00,1068478,39.94,5.40,2.00
14-July-2020,198.00,199.50,192.80,196.00,196.517536903938746122,630556,5850,123915312.00,178553,28.32,6.70,-2.00
13-July-2020,196.00,198.75,195.35,197.45,197.120038404204249728,712422,5642,140432652.00,221998,31.16,3.40,1.45
10-July-2020,195.70,196.50,194.00,194.30,194.885187622162444603,516730,4942,100703023.00,170228,32.94,2.50,-1.40
9-July-2020,196.60,197.75,194.20,195.45,195.140258599328722996,532716,5745,103954338.00,215282,40.41,3.55,-1.15
8-July-2020,194.80,197.90,194.40,196.25,196.662663592595104088,1917110,19102,377023959.00,922479,48.12,3.50,1.45
7-July-2020,200.30,200.55,194.00,194.30,195.512438693126084660,1325300,22787,259112635.00,680262,51.33,6.55,-6.00
6-July-2020,200.80,201.95,199.00,199.75,200.256786851265785627,1277507,10372,255829447.00,529718,41.46,2.95,-1.05
3-July-2020,207.70,208.45,206.00,207.35,207.329639790841890070,2196807,22967,455463204.00,888888,40.46,2.45,-0.35
2-July-2020,204.30,206.75,202.65,206.00,204.663908758605184437,1427773,12608,292213603.00,414458,29.03,4.10,1.70
1-July-2020,195.00,203.80,194.85,202.70,200.315985054197536676,1762903,12144,353137651.00,424268,24.07,8.95,7.70
30-June-2020,201.00,201.00,194.00,194.60,196.214697460265257404,1763570,8382,346038354.00,1229574,69.72,7.00,-6.40
29-June-2020,203.10,203.10,196.25,197.20,198.513389959016471010,2641793,21362,524431284.00,690337,26.13,6.85,-5.90
26-June-2020,205.50,209.25,193.30,195.10,200.670176369810839932,5776272,45917,1159125521.00,1381657,23.92,15.95,-10.40
25-June-2020,191.85,203.50,191.85,202.25,198.398967021590977734,2764627,19157,548499141.00,613161,22.18,11.65,10.40
24-June-2020,187.60,194.65,186.20,191.80,192.177960179970243574,3687943,35676,708741363.00,1452822,39.39,8.45,4.20
23-June-2020,184.95,187.45,184.80,185.90,186.173760634975659465,1673135,16905,311493835.00,600316,35.88,2.65,0.95
22-June-2020,185.80,187.40,183.20,185.05,185.064122040588597522,1797697,21380,332689217.00,622007,34.60,4.20,-0.75
19-June-2020,187.35,188.00,183.65,184.10,184.779355118955186155,1321422,17517,244171505.00,568452,43.02,4.35,-3.25
18-June-2020,181.55,187.45,180.75,186.65,185.505764888171029099,1673493,17361,310442599.00,585039,34.96,6.70,5.10
17-June-2020,183.10,185.05,180.70,181.30,182.686389449195210722,950373,6878,173620212.00,417667,43.95,4.35,-1.80
16-June-2020,190.10,191.00,181.90,184.95,185.812687698158117393,1398189,20902,259801256.00,468973,33.54,9.10,-5.15
15-June-2020,194.05,194.05,186.40,187.20,188.948901066419232044,778118,16936,147024541.00,360066,46.27,7.65,-6.85
12-June-2020,189.60,195.25,188.05,194.00,192.142738077021168069,980250,8173,188347919.00,291012,29.69,7.20,4.40
11-June-2020,200.00,201.25,193.60,194.60,197.241491087794112146,855456,7978,168731417.00,358396,41.90,7.65,-5.40
10-June-2020,199.20,203.20,198.35,199.25,200.844233908701562169,1024793,10385,205823765.00,381738,37.25,4.85,0.05
9-June-2020,198.95,206.10,197.70,198.60,201.951303680410143296,1341970,11258,271012591.00,357223,26.62,8.40,-0.35
8-June-2020,202.40,203.65,197.15,197.75,199.876273944791026057,744734,8276,148854657.00,289251,38.84,6.50,-4.65
5-June-2020,200.70,202.10,198.75,199.95,200.334005050254988364,605910,5461,121384377.00,224503,37.05,3.35,-0.75
4-June-2020,197.90,202.60,195.00,200.10,198.145432174130954515,841987,7512,166835878.00,199212,23.66,7.60,2.20
3-June-2020,200.00,200.85,195.30,196.85,198.755742428352529747,681985,6988,135548435.00,224278,32.89,5.55,-3.15
2-June-2020,201.80,201.80,196.75,197.20,199.159502725949872097,973789,9739,193939333.00,332249,34.12,5.05,-4.60
1-June-2020,200.00,205.25,199.55,200.60,202.330333962083078195,1177469,13355,238237696.00,362701,30.80,5.70,0.60
29-May-2020,190.80,198.00,189.30,197.45,195.285684621106900596,1314698,11738,256741699.00,376453,28.63,8.70,6.65
28-May-2020,192.65,193.00,189.10,190.55,190.074820173436065791,632971,6713,120311849.00,229954,36.33,3.90,-2.10
27-May-2020,192.15,193.90,186.85,192.15,190.793629473619662287,847999,8604,161792807.00,222357,26.22,7.05,0.00
26-May-2020,190.20,194.95,188.00,191.50,191.301582713102513509,1667390,19147,318974346.00,343256,20.59,6.95,1.30
22-May-2020,188.00,191.80,184.75,186.35,187.324818779433273864,1244340,11110,233095765.00,241330,19.39,7.05,-1.65
21-May-2020,176.00,190.60,172.70,188.90,183.914595089914058781,1970882,18841,362473965.00,666500,33.82,17.90,12.90
20-May-2020,170.80,176.95,170.80,175.75,175.251760753278816230,1001276,14007,175475382.00,387803,38.73,6.15,4.95
19-May-2020,166.00,171.55,165.20,170.70,169.384091866017706999,695883,7824,117871510.00,230202,33.08,6.35,4.70
18-May-2020,166.40,167.20,163.15,164.55,165.686699525959155208,742763,11955,123065950.00,228821,30.81,4.05,-1.85
15-May-2020,162.20,165.45,161.30,164.60,163.221962160288262545,475955,5543,77686309.00,123093,25.86,4.15,2.40
14-May-2020,165.40,168.20,162.05,163.95,164.017641788042534126,1093710,6362,179387735.00,177883,16.26,6.15,-1.45
13-May-2020,173.00,173.30,164.55,165.40,167.675940836831406976,672513,9139,112764250.00,246340,36.63,8.75,-7.60
