Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2020,1309.00,1440.00,1309.00,1405.95,1364.192889782586723267,187983,10889,256445072.00,40355,21.47,131.00,96.95
31-August-2020,1358.00,1399.25,1302.00,1310.95,1355.998891426446495539,285051,21414,386528840.00,82344,28.89,97.25,-47.05
28-August-2020,1355.00,1468.90,1341.85,1446.65,1406.487326846659486760,323124,23320,454469811.00,80600,24.94,127.05,91.65
27-August-2020,1340.00,1356.15,1325.10,1335.90,1337.898090844732695425,87578,3799,117170439.00,10599,12.10,31.05,-4.10
26-August-2020,1323.15,1343.75,1313.85,1322.65,1331.063178881438499807,212666,6821,283071882.00,18427,8.66,29.90,-0.50
25-August-2020,1311.95,1329.10,1293.15,1323.15,1312.465740700106786032,136722,3929,179442941.00,13633,9.97,35.95,11.20
24-August-2020,1329.95,1336.35,1301.50,1311.10,1319.121473766348323183,117902,4560,155527060.00,13444,11.40,34.85,-18.85
21-August-2020,1349.00,1374.95,1301.00,1308.80,1320.129881799219126063,186970,7340,246824684.00,20025,10.71,73.95,-40.20
20-August-2020,1334.35,1365.50,1300.00,1347.35,1351.003050952990418208,144545,10235,195280736.00,24953,17.26,65.50,13.00
19-August-2020,1275.00,1345.45,1266.30,1334.35,1318.411013660208409108,266687,15416,351603078.00,50307,18.86,79.15,59.35
18-August-2020,1236.00,1272.00,1216.95,1261.00,1244.642934792294120791,112226,5162,139681298.00,9505,8.47,55.05,25.00
17-August-2020,1243.05,1271.45,1220.00,1234.30,1240.460778015703069236,168120,6611,208546266.00,15376,9.15,51.45,-8.75
14-August-2020,1258.00,1287.45,1215.90,1243.05,1261.255410272098126783,272953,14599,344263448.00,45865,16.80,71.55,-14.95
13-August-2020,1195.25,1270.00,1195.25,1254.60,1245.824936207510925615,244151,17768,304169404.00,59844,24.51,74.75,59.35
12-August-2020,1122.00,1228.70,1110.10,1195.50,1188.312335216572504708,254880,21322,302877048.00,72417,28.41,118.60,73.50
11-August-2020,1126.00,1136.70,1118.65,1123.65,1127.314560439560439560,13104,1183,14772330.00,3533,26.96,18.05,-2.35
10-August-2020,1134.00,1143.25,1116.20,1125.60,1130.340269219831263626,21098,1458,23847919.00,3304,15.66,27.05,-8.40
7-August-2020,1126.00,1138.25,1090.00,1127.50,1128.567428838077461502,17144,1314,19348160.00,2616,15.26,48.25,1.50
6-August-2020,1141.00,1145.25,1122.00,1127.60,1131.108211885853913954,68754,3073,77768214.00,3421,4.98,23.25,-13.40
5-August-2020,1109.75,1152.00,1092.00,1139.20,1127.810881036778032623,62347,4059,70315625.00,9040,14.50,60.00,29.45
4-August-2020,1089.50,1101.85,1065.00,1094.90,1079.461980674358869816,49054,3215,52951928.00,6063,12.36,36.85,5.40
3-August-2020,1084.55,1101.00,1071.00,1088.30,1090.985182694463124859,44610,3987,48668849.00,14835,33.25,30.00,3.75
31-July-2020,1078.00,1094.25,1060.20,1084.55,1074.921108164095018682,51653,4339,55522900.00,16365,31.68,34.05,6.55
30-July-2020,1023.55,1105.55,1023.55,1083.70,1083.096021553189819779,191155,17104,207039220.00,38072,19.92,82.00,60.15
29-July-2020,1150.00,1165.75,1125.30,1137.25,1142.465756422454804947,105100,5634,120073151.00,11674,11.11,40.45,-12.75
28-July-2020,1130.65,1150.60,1100.00,1127.15,1123.217031610954251979,101294,7502,113775146.00,25589,25.26,50.60,-3.50
27-July-2020,1139.95,1172.10,1115.00,1130.65,1145.672941508296212725,205636,14653,235591601.00,24050,11.70,57.10,-9.30
