Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-September-2020,520.15,527.50,506.05,522.30,517.120645803383832798,388849,5738,201081846.00,65994,16.97,21.45,2.15
31-August-2020,559.60,560.95,514.50,518.50,533.492971724697246697,727490,18537,388110802.00,229352,31.53,46.45,-41.10
28-August-2020,538.95,564.90,534.70,555.80,550.892509321055634428,1205872,24162,664305852.00,338918,28.11,30.20,16.85
27-August-2020,527.10,536.90,524.55,532.90,530.600326058025019962,150280,3154,79738617.00,46802,31.14,12.35,5.80
26-August-2020,526.35,530.00,522.45,524.95,525.396132972238107055,92681,1845,48694239.00,26529,28.62,7.55,-1.40
25-August-2020,533.50,534.35,524.15,525.10,528.559209091089383812,151269,2060,79954623.00,99311,65.65,10.20,-8.40
24-August-2020,535.05,538.15,527.90,533.35,531.651425581689048188,166283,4465,88404594.00,62599,37.65,10.25,-1.70
21-August-2020,525.00,538.50,525.00,532.70,534.164869350502373107,369347,5493,197292192.00,101835,27.57,13.50,7.70
20-August-2020,525.60,529.80,521.35,522.25,523.682256269041481134,136544,4020,71505670.00,42343,31.01,8.45,-3.35
19-August-2020,527.10,532.75,524.35,525.45,528.587478387478387478,164835,4374,87129717.00,55549,33.70,8.40,-1.65
18-August-2020,529.50,533.75,524.45,526.15,527.932464830144298186,110535,2334,58355015.00,22718,20.55,9.30,-3.35
17-August-2020,535.00,538.00,527.15,528.35,530.986549820059888464,182005,4836,96642207.00,40154,22.06,10.85,-6.65
14-August-2020,524.45,536.00,522.95,531.45,531.465337065952600372,287555,5823,152825515.00,47882,16.65,13.05,7.00
13-August-2020,533.00,536.35,519.00,520.80,525.808864707476342537,376414,5054,197921818.00,152423,40.49,17.35,-12.20
12-August-2020,544.90,544.90,529.75,532.00,534.112455222341004144,213276,4528,113913368.00,49104,23.02,15.15,-12.90
11-August-2020,546.50,549.95,535.50,541.05,541.544135723013665848,275797,4759,149356248.00,53454,19.38,14.45,-5.45
10-August-2020,527.90,550.70,527.05,543.75,543.314620882567276521,492631,9644,267653625.00,92929,18.86,23.65,15.85
7-August-2020,532.20,535.25,522.70,525.80,527.734671119567279227,173969,4128,91809473.00,45671,26.25,12.55,-6.40
6-August-2020,532.65,541.00,526.35,532.20,534.913909240411590100,392818,8869,210123812.00,110650,28.17,14.65,-0.45
5-August-2020,536.35,537.70,527.45,529.00,532.885408505668967760,270596,5183,144196660.00,63238,23.37,10.25,-7.35
4-August-2020,520.15,532.15,517.20,528.50,525.206983259647068587,445809,10099,234142000.00,102968,23.10,14.95,8.35
3-August-2020,531.75,540.00,516.60,519.80,527.584378668248985349,852757,16832,449901272.00,230908,27.08,23.40,-11.95
31-July-2020,515.00,540.75,507.75,531.75,523.490642384366606815,1473666,29192,771450361.00,292334,19.84,33.00,16.75
30-July-2020,493.00,513.10,487.65,509.95,501.591407164598454694,555230,12146,278498597.00,141343,25.46,25.45,16.95
29-July-2020,485.90,496.00,485.00,493.00,491.350504790136185934,232770,5259,114371657.00,63570,27.31,11.00,7.10
28-July-2020,477.30,483.60,473.50,482.50,480.242360638486482776,174851,3658,83970857.00,36350,20.79,10.10,5.20
27-July-2020,488.45,488.45,469.40,475.40,475.005729058082808656,239830,5268,113920624.00,66896,27.89,19.05,-13.05
24-July-2020,490.00,496.20,481.60,485.40,489.787468781761971146,942558,22063,461653097.00,387738,41.14,14.60,-4.60
23-July-2020,479.00,481.75,474.50,476.10,477.438743478483569071,136663,2754,65248211.00,36998,27.07,7.25,-2.90
22-July-2020,480.00,488.00,471.75,474.25,479.588470679714206070,272644,5503,130756919.00,77218,28.32,16.25,-5.75
21-July-2020,486.20,487.95,475.00,477.25,480.440813369638530139,400310,10877,192325262.00,153465,38.34,12.95,-8.95
20-July-2020,504.50,504.50,482.00,483.85,487.200032510046507427,553675,11133,269750478.00,153333,27.69,22.50,-20.65
17-July-2020,499.00,509.60,497.55,503.30,504.309123777116120799,291524,5460,147018213.00,61542,21.11,12.05,4.30
16-July-2020,496.00,505.80,491.50,499.25,497.308727283227764783,588717,7956,292774102.00,93176,15.83,14.30,3.25
15-July-2020,497.00,499.35,492.50,494.80,495.493448923439751932,137382,2540,68071881.00,30919,22.51,6.85,-2.20
14-July-2020,501.00,503.80,490.45,491.95,495.422708814457756629,258076,4663,127856711.00,72345,28.03,13.35,-9.05
13-July-2020,493.50,501.45,492.65,499.65,498.531530762596133112,222608,4539,110977107.00,72719,32.67,8.80,6.15
10-July-2020,481.00,498.20,481.00,493.45,494.122600925402316482,873566,17649,431648704.00,316118,36.19,17.20,12.45
9-July-2020,484.80,487.10,480.45,482.05,483.879770038326945509,144024,3847,69690300.00,54205,37.64,6.65,-2.75
8-July-2020,480.00,488.00,480.00,484.00,484.512259463742955304,383622,6994,185869562.00,175096,45.64,8.00,4.00
7-July-2020,480.20,486.00,476.55,479.45,481.266235786126568278,376129,6211,181018188.00,192381,51.15,9.45,-0.75
6-July-2020,478.00,481.00,471.60,480.15,476.690701824074249216,317202,7742,151207244.00,131180,41.36,9.40,2.15
3-July-2020,475.00,479.00,472.25,476.90,476.362143359422135120,240333,4928,114485543.00,109650,45.62,6.75,1.90
2-July-2020,468.20,474.70,468.00,473.15,472.011337449492220320,286837,7323,135390316.00,136980,47.76,6.70,4.95
